elapsed_seconds_since_start,server_round,event_type,client_cid,s_available_cids_count,s_client_state_tuple,s_client_q_value,s_client_selection_prob,s_was_selected,s_softmax_temperature,s_selection_context_global_f1_prev_round,s_selection_context_max_global_f1_achieved,l_state_at_selection,l_reward_performance_component,l_reward_fairness_penalty_component,l_reward_total_global_for_action,l_q_current_value_S,l_q_next_max_value_S_prime,l_q_updated_value_S,l_rl_learning_rate,l_rl_discount_factor,l_learn_context_current_global_f1,l_learn_context_last_global_f1,l_learn_context_last_global_precision,l_learn_context_last_global_recall,l_learn_context_max_global_f1,l_reward_resource_cost_component,gm_eval_avg_anomaly_score,gm_eval_accuracy,gm_eval_f1,gm_eval_precision,gm_eval_recall,gm_eval_avg_client_time_seconds,gm_eval_clients_attempted,gm_eval_clients_valid_metrics,gm_fit_g_loss,gm_fit_d_loss,gm_fit_avg_client_time_seconds,gm_fit_clients_total_received,gm_fit_clients_valid_for_loss,c_eval_partition_id,c_eval_profile_name,c_eval_cores,c_eval_f1,c_eval_accuracy,c_eval_precision,c_eval_recall,c_eval_num_samples,c_eval_time_seconds,c_fit_partition_id,c_fit_cpu_percent,c_fit_ram_mb,c_fit_time_seconds,c_fit_post_local_f1,c_fit_g_loss,c_fit_d_loss
24.291916,2,client_eval_metrics,4296149388320225194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Low-End IoT,2,0.6666666666666666,0.5151515151515151,0.810126582278481,0.5663716814159292,132,0.01302194595336914,,,,,,,
24.292379,2,client_eval_metrics,12043264814094380418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Low-End IoT,1,0.6738351254480287,0.5252173913043479,0.8173913043478261,0.573170731707317,575,0.020250320434570312,,,,,,,
24.295027,2,global_eval_metrics,,,,,,,,,,,,,,,,,,,,,,,,,0.5017516832734024,0.5214927946791477,0.668292622133257,0.8038598029808097,0.5718766258794907,0.022741413116455077,10,10,,,,,,,,,,,,,,,,,,,,,
24.324376,3,selection_info,1640189632563049314,10,"(6, 0, 0, 6, 0)",0.0,0.09848516877899455,0,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.324864,3,selection_info,5975185251685626785,10,"(6, 0, 1, 6, 0)",0.0,0.09848516877899455,0,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.325261,3,selection_info,8560019474512340676,10,"(6, 0, 2, 6, 0)",0.05,0.10353460618234611,1,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.325691,3,selection_info,12043264814094380418,10,"(6, 0, 0, 6, 0)",0.0,0.09848516877899455,0,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.326046,3,selection_info,4296149388320225194,10,"(6, 0, 0, 6, 0)",0.0,0.09848516877899455,0,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.326495,3,selection_info,15388649110162717160,10,"(6, 1, 2, 6, 0)",0.05,0.10353460618234611,1,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.326913,3,selection_info,2395859185497387824,10,"(6, 0, 2, 6, 0)",0.05,0.10353460618234611,1,1.0,0.668292622133257,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
